id,image_name,type
0,glioma/Tr-gl_84.jpg,glioma
1,pituitary/Tr-pi_628.jpg,pituitary
2,pituitary/Tr-pi_145.jpg,pituitary
3,pituitary/Tr-pi_1376.jpg,pituitary
4,meningioma/Tr-me_1211.jpg,meningioma
5,glioma/Tr-gl_38.jpg,glioma
6,glioma/Tr-gl_1213.jpg,glioma
7,pituitary/Tr-pi_1358.jpg,pituitary
8,pituitary/Tr-pi_643.jpg,pituitary
9,notumor/Tr-no_425.jpg,notumor
10,glioma/Tr-gl_726.jpg,glioma
11,pituitary/Tr-pi_806.jpg,pituitary
12,notumor/Tr-no_1126.jpg,notumor
13,meningioma/Tr-me_192.jpg,meningioma
14,pituitary/Tr-pi_487.jpg,pituitary
15,pituitary/Tr-pi_710.jpg,pituitary
16,notumor/Tr-no_1046.jpg,notumor
17,pituitary/Tr-pi_555.jpg,pituitary
18,meningioma/Tr-me_788.jpg,meningioma
19,meningioma/Tr-me_1088.jpg,meningioma
20,meningioma/Tr-aug-me_57.jpg,meningioma
21,notumor/Tr-no_595.jpg,notumor
22,notumor/Tr-no_592.jpg,notumor
23,pituitary/Tr-pi_615.jpg,pituitary
24,notumor/Tr-no_295.jpg,notumor
25,pituitary/Tr-pi_517.jpg,pituitary
26,meningioma/Tr-me_736.jpg,meningioma
27,meningioma/Tr-me_1167.jpg,meningioma
28,glioma/Tr-gl_667.jpg,glioma
29,notumor/Tr-no_239.jpg,notumor
30,pituitary/Tr-pi_1176.jpg,pituitary
31,pituitary/Tr-pi_88.jpg,pituitary
32,notumor/Tr-no_736.jpg,notumor
33,pituitary/Tr-pi_813.jpg,pituitary
34,notumor/Tr-no_746.jpg,notumor
35,meningioma/Tr-aug-me_77.jpg,meningioma
36,glioma/Tr-gl_1035.jpg,glioma
37,pituitary/Tr-pi_981.jpg,pituitary
38,glioma/Tr-gl_347.jpg,glioma
39,glioma/Tr-gl_345.jpg,glioma
40,glioma/Tr-gl_1385.jpg,glioma
41,notumor/Tr-no_1251.jpg,notumor
42,glioma/Tr-gl_1118.jpg,glioma
43,pituitary/Tr-pi_653.jpg,pituitary
44,glioma/Tr-gl_505.jpg,glioma
45,notumor/Tr-no_130.jpg,notumor
46,glioma/Tr-gl_808.jpg,glioma
47,notumor/Tr-no_229.jpg,notumor
48,meningioma/Tr-me_1092.jpg,meningioma
49,notumor/Tr-no_885.jpg,notumor
50,pituitary/Tr-pi_640.jpg,pituitary
51,meningioma/Tr-me_1230.jpg,meningioma
52,glioma/Tr-gl_1206.jpg,glioma
53,notumor/Tr-no_263.jpg,notumor
54,glioma/Tr-gl_191.jpg,glioma
55,pituitary/Tr-pi_952.jpg,pituitary
56,pituitary/Tr-pi_791.jpg,pituitary
57,notumor/Tr-no_508.jpg,notumor
58,pituitary/Tr-pi_609.jpg,pituitary
59,notumor/Tr-no_1337.jpg,notumor
60,pituitary/Tr-pi_1244.jpg,pituitary
61,pituitary/Tr-pi_260.jpg,pituitary
62,pituitary/Tr-pi_480.jpg,pituitary
63,pituitary/Tr-pi_1007.jpg,pituitary
64,pituitary/Tr-pi_103.jpg,pituitary
65,meningioma/Tr-me_118.jpg,meningioma
66,glioma/Tr-gl_389.jpg,glioma
67,notumor/Tr-no_223.jpg,notumor
68,notumor/Tr-no_637.jpg,notumor
69,notumor/Tr-no_1005.jpg,notumor
70,notumor/Tr-no_861.jpg,notumor
71,pituitary/Tr-pi_1276.jpg,pituitary
72,pituitary/Tr-pi_1116.jpg,pituitary
73,meningioma/Tr-me_125.jpg,meningioma
74,pituitary/Tr-pi_1068.jpg,pituitary
75,meningioma/Tr-me_563.jpg,meningioma
76,meningioma/Tr-me_707.jpg,meningioma
77,glioma/Tr-gl_1083.jpg,glioma
78,glioma/Tr-gl_336.jpg,glioma
79,notumor/Tr-no_689.jpg,notumor
80,meningioma/Tr-me_1215.jpg,meningioma
81,glioma/Tr-gl_803.jpg,glioma
82,glioma/Tr-gl_921.jpg,glioma
83,pituitary/Tr-pi_468.jpg,pituitary
84,pituitary/Tr-pi_811.jpg,pituitary
85,glioma/Tr-gl_790.jpg,glioma
86,pituitary/Tr-pi_602.jpg,pituitary
87,notumor/Tr-no_801.jpg,notumor
88,pituitary/Tr-pi_567.jpg,pituitary
89,glioma/Tr-gl_509.jpg,glioma
90,pituitary/Tr-pi_215.jpg,pituitary
91,glioma/Tr-gl_627.jpg,glioma
92,pituitary/Tr-pi_1352.jpg,pituitary
93,notumor/Tr-no_146.jpg,notumor
94,meningioma/Tr-me_136.jpg,meningioma
95,notumor/Tr-no_905.jpg,notumor
96,glioma/Tr-gl_384.jpg,glioma
97,glioma/Tr-gl_178.jpg,glioma
98,notumor/Tr-no_851.jpg,notumor
99,pituitary/Tr-pi_634.jpg,pituitary
100,pituitary/Tr-pi_671.jpg,pituitary
101,notumor/Tr-no_414.jpg,notumor
102,pituitary/Tr-pi_300.jpg,pituitary
103,glioma/Tr-gl_1178.jpg,glioma
104,glioma/Tr-gl_993.jpg,glioma
105,meningioma/Tr-me_861.jpg,meningioma
106,glioma/Tr-gl_776.jpg,glioma
107,notumor/Tr-no_378.jpg,notumor
108,pituitary/Tr-pi_18.jpg,pituitary
109,pituitary/Tr-pi_553.jpg,pituitary
110,pituitary/Tr-pi_1079.jpg,pituitary
111,notumor/Tr-no_763.jpg,notumor
112,notumor/Tr-no_1008.jpg,notumor
113,meningioma/Tr-me_623.jpg,meningioma
114,notumor/Tr-no_42.jpg,notumor
115,notumor/Tr-no_59.jpg,notumor
116,notumor/Tr-no_781.jpg,notumor
117,pituitary/Tr-pi_612.jpg,pituitary
118,pituitary/Tr-pi_1196.jpg,pituitary
119,pituitary/Tr-pi_581.jpg,pituitary
120,pituitary/Tr-pi_1237.jpg,pituitary
121,pituitary/Tr-pi_327.jpg,pituitary
122,notumor/Tr-no_1090.jpg,notumor
123,notumor/Tr-no_97.jpg,notumor
124,meningioma/Tr-me_337.jpg,meningioma
125,glioma/Tr-gl_624.jpg,glioma
126,glioma/Tr-gl_230.jpg,glioma
127,glioma/Tr-gl_300.jpg,glioma
128,pituitary/Tr-pi_695.jpg,pituitary
129,glioma/Tr-gl_324.jpg,glioma
130,meningioma/Tr-me_1083.jpg,meningioma
131,glioma/Tr-gl_259.jpg,glioma
132,meningioma/Tr-me_1206.jpg,meningioma
133,meningioma/Tr-me_479.jpg,meningioma
134,meningioma/Tr-me_48.jpg,meningioma
135,meningioma/Tr-me_1048.jpg,meningioma
136,pituitary/Tr-pi_682.jpg,pituitary
137,meningioma/Tr-me_94.jpg,meningioma
138,pituitary/Tr-pi_1320.jpg,pituitary
139,notumor/Tr-no_974.jpg,notumor
140,glioma/Tr-gl_187.jpg,glioma
141,notumor/Tr-no_1206.jpg,notumor
142,pituitary/Tr-pi_925.jpg,pituitary
143,pituitary/Tr-pi_802.jpg,pituitary
144,pituitary/Tr-pi_61.jpg,pituitary
145,glioma/Tr-gl_150.jpg,glioma
146,pituitary/Tr-pi_1292.jpg,pituitary
147,meningioma/Tr-me_159.jpg,meningioma
148,notumor/Tr-no_1357.jpg,notumor
149,notumor/Tr-no_730.jpg,notumor
150,glioma/Tr-gl_801.jpg,glioma
151,pituitary/Tr-pi_420.jpg,pituitary
152,pituitary/Tr-pi_408.jpg,pituitary
153,glioma/Tr-gl_662.jpg,glioma
154,meningioma/Tr-me_816.jpg,meningioma
155,notumor/Tr-no_839.jpg,notumor
156,glioma/Tr-gl_278.jpg,glioma
157,glioma/Tr-gl_454.jpg,glioma
158,notumor/Tr-no_635.jpg,notumor
159,meningioma/Tr-me_433.jpg,meningioma
160,meningioma/Tr-me_873.jpg,meningioma
161,glioma/Tr-gl_747.jpg,glioma
162,notumor/Tr-no_852.jpg,notumor
163,notumor/Tr-no_1182.jpg,notumor
164,glioma/Tr-gl_419.jpg,glioma
165,glioma/Tr-gl_1028.jpg,glioma
166,pituitary/Tr-pi_533.jpg,pituitary
167,glioma/Tr-gl_588.jpg,glioma
168,notumor/Tr-no_778.jpg,notumor
169,glioma/Tr-gl_1380.jpg,glioma
170,glioma/Tr-gl_364.jpg,glioma
171,glioma/Tr-gl_23.jpg,glioma
172,pituitary/Tr-pi_1161.jpg,pituitary
173,pituitary/Tr-pi_524.jpg,pituitary
174,glioma/Tr-gl_114.jpg,glioma
175,pituitary/Tr-pi_485.jpg,pituitary
176,meningioma/Tr-me_67.jpg,meningioma
177,notumor/Tr-no_743.jpg,notumor
178,glioma/Tr-gl_571.jpg,glioma
179,notumor/Tr-no_840.jpg,notumor
180,meningioma/Tr-me_1175.jpg,meningioma
181,meningioma/Tr-me_1062.jpg,meningioma
182,glioma/Tr-gl_1264.jpg,glioma
183,meningioma/Tr-me_1112.jpg,meningioma
184,glioma/Tr-gl_633.jpg,glioma
185,notumor/Tr-no_1092.jpg,notumor
186,pituitary/Tr-pi_381.jpg,pituitary
187,glioma/Tr-gl_1358.jpg,glioma
188,notumor/Tr-no_211.jpg,notumor
189,notumor/Tr-no_805.jpg,notumor
190,notumor/Tr-no_292.jpg,notumor
